Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
white-beads-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.03.25_2.jpg?v=1729225428,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-beads-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.03.25_3.jpg?v=1729225428,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalash-plastic-toran,Kalash Plastic Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'556,0.0,shopify,deny,manual,12.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.01.18.jpg?v=1729225287,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,2.94,true,,,true,,,active
kalash-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.01.31.jpg?v=1729225287,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalash-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at16.01.31_1.jpg?v=1729225287,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
om-and-swastika-plastic-toran,Om and Swastika Plastic Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'555,0.0,shopify,deny,manual,12.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at15.57.39.jpg?v=1729224604,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,3.07,true,,,true,,,active
om-and-swastika-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at15.57.40.jpg?v=1729224605,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
om-and-swastika-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at15.57.40_1.jpg?v=1729224604,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
om-and-swastika-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at15.57.40_2.jpg?v=1729224605,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
om-and-swastika-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-12at15.57.40_3.jpg?v=1729224605,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
